movie_id,title,year,genres,rating,vote_count,popularity,overview,image_url
19,One Flew Over the Cuckoo's Nest,1975,Drama,8.7,1100000,101.5,A rebellious prisoner challenges the oppressive authority of a psychiatric hospital.,https://image.tmdb.org/t/p/w1280/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg
20,Se7en,1995,Crime|Drama|Mystery|Thriller,8.6,1900000,119.5,Two detectives hunt a serial killer whose crimes are based on the seven deadly sins.,https://image.tmdb.org/t/p/w1280/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg
21,It's a Wonderful Life,1946,Drama|Family|Fantasy,8.6,500000,84.5,A troubled businessman is shown how different his town would have been if he had never existed.,https://image.tmdb.org/t/p/w1280/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg
22,The Silence of the Lambs,1991,Crime|Drama|Thriller,8.6,1600000,112.0,A young FBI trainee seeks the help of an imprisoned killer to catch another dangerous murderer.,https://image.tmdb.org/t/p/w1280/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg
23,Saving Private Ryan,1998,Drama|War,8.6,1600000,112.0,Soldiers search behind enemy lines for a paratrooper whose brothers have already died in combat.,https://image.tmdb.org/t/p/w1280/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg
24,City of God,2002,Crime|Drama,8.6,800000,92.0,Two boys grow up in a violent Brazilian neighborhood and choose very different paths.,https://image.tmdb.org/t/p/w1280/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg
25,Life Is Beautiful,1997,Comedy|Drama|Romance,8.6,800000,92.0,A father uses imagination and humor to protect his son from the horrors of a concentration camp.,https://image.tmdb.org/t/p/w1280/74hLDKjD5aGYOotO6esUVaeISa2.jpg
26,The Green Mile,1999,Crime|Drama|Fantasy,8.6,1400000,107.0,A prison guard encounters a mysterious inmate whose supernatural abilities change the lives around him.,https://image.tmdb.org/t/p/w1280/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg
27,Star Wars: A New Hope,1977,Action|Adventure|Sci-Fi,8.6,1500000,109.5,A farm boy joins rebels and battles an oppressive empire after discovering a hidden message.,https://image.tmdb.org/t/p/w1280/fai0rspsNeJCS69wHNjOdWxcI7P.jpg
28,Terminator 2: Judgment Day,1991,Action|Sci-Fi,8.6,1200000,102.0,A reprogrammed machine protects a young future leader from an advanced killer sent through time.,https://image.tmdb.org/t/p/w1280/jFTVD4XoWQTcg7wdyJKa8PEds5q.jpg
29,Back to the Future,1985,Adventure|Comedy|Sci-Fi,8.5,1300000,102.5,A teenager accidentally travels into the past and must repair his family's future before returning home.,https://image.tmdb.org/t/p/w1280/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg
30,The Pianist,2002,Biography|Drama|Music|War,8.5,900000,92.5,A Jewish pianist struggles to survive the destruction of Warsaw during World War II.,https://image.tmdb.org/t/p/w1280/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg
31,Gladiator,2000,Action|Adventure|Drama,8.5,1900000,117.5,A betrayed Roman general becomes a gladiator and seeks revenge against the emperor who destroyed his family.,https://image.tmdb.org/t/p/w1280/wN2xWp1eIwCKOD0BHTcErTBv1Uq.jpg
32,The Departed,2006,Crime|Drama|Thriller,8.5,1500000,107.5,An undercover police officer and a criminal informant infiltrate each other's organizations in Boston.,https://image.tmdb.org/t/p/w1280/nT97ifVT2J1yMQmeq20Qblg61T.jpg
33,Whiplash,2014,Drama|Music,8.5,1000000,95.0,An ambitious young drummer faces an abusive instructor determined to push him toward greatness.,https://image.tmdb.org/t/p/w1280/7fn624j5lj3xTme2SgiLCeuedmO.jpg
34,The Prestige,2006,Drama|Mystery|Sci-Fi,8.5,1500000,107.5,Two rival magicians become obsessed with defeating each other and uncovering the secrets behind impossible tricks.,https://image.tmdb.org/t/p/w1280/Ag2B2KHKQPukjH7WutmgnnSNurZ.jpg
35,The Intouchables,2011,Biography|Comedy|Drama,8.5,900000,92.5,An unlikely friendship develops between a wealthy quadriplegic man and his unconventional caregiver.,https://image.tmdb.org/t/p/w1280/636EnOWVlMmIhjCeUoPTLWwfRk8.jpg
36,Parasite,2019,Comedy|Drama|Thriller,8.5,1000000,95.0,A poor family gradually enters the lives of a wealthy household with unexpected consequences.,https://image.tmdb.org/t/p/w1280/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
37,The Lion King,1994,Animation|Adventure|Drama,8.5,1200000,100.0,A young lion must overcome loss and reclaim his place as ruler of the pride.,https://image.tmdb.org/t/p/w1280/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg
38,American History X,1998,Crime|Drama,8.5,1200000,100.0,A former neo-Nazi tries to prevent his younger brother from following the same destructive path.,https://image.tmdb.org/t/p/w1280/x2drgoXYZ8484lqyDj7L1CEVR4T.jpg
39,The Usual Suspects,1995,Crime|Mystery|Thriller,8.5,1100000,97.5,A mysterious criminal mastermind is described through the conflicting story of a survivor.,https://image.tmdb.org/t/p/w1280/6Dr8vu5nvjp5x67QfohU1O7xKcO.jpg
40,Casablanca,1942,Drama|Romance|War,8.5,600000,85.0,A nightclub owner must choose between love and helping an old lover escape occupied Morocco.,https://image.tmdb.org/t/p/w1280/lGCEKlJo2CnWydQj7aamY7s1S7Q.jpg
41,Modern Times,1936,Comedy|Drama,8.5,300000,77.5,A factory worker struggles to survive the pressures and absurdity of industrial life.,https://image.tmdb.org/t/p/w1280/oQGsoxSuTytC1VlzclQMNcVE8rg.jpg
42,Psycho,1960,Horror|Mystery|Thriller,8.5,750000,88.75,A woman checks into an isolated motel run by a strange young man and his mysterious mother.,https://image.tmdb.org/t/p/w1280/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg
43,Django Unchained,2012,Drama|Western,8.5,1800000,115.0,A freed slave teams with a bounty hunter to rescue his wife from a brutal plantation owner.,https://image.tmdb.org/t/p/w1280/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg
44,The Dark Knight Rises,2012,Action|Thriller,8.4,1900000,115.5,Batman returns to Gotham to face a masked revolutionary who threatens to destroy the city.,https://image.tmdb.org/t/p/w1280/hrJUZ5Jo2G3Czy391evhlxgbEdJ.jpg
45,Joker,2019,Crime|Drama|Thriller,8.3,1600000,106.0,A lonely failed comedian descends into violence and becomes a symbol of chaos in Gotham.,https://image.tmdb.org/t/p/w1280/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg
46,Avengers: Endgame,2019,Action|Adventure|Drama|Sci-Fi,8.4,1400000,103.0,The surviving heroes attempt one final plan to undo the devastation caused by a powerful enemy.,https://image.tmdb.org/t/p/w1280/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg
47,Spider-Man: Into the Spider-Verse,2018,Animation|Action|Adventure|Sci-Fi,8.4,700000,85.5,A teenager becomes Spider-Man and meets heroes from different dimensions.,https://image.tmdb.org/t/p/w1280/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg
48,Toy Story,1995,Animation|Adventure|Comedy|Family,8.3,1100000,93.5,A cowboy toy struggles when a new astronaut toy becomes the favorite of their owner.,https://image.tmdb.org/t/p/w1280/bVqDDZlTGFB42ea5kBSEptOhrIO.jpg
49,Coco,2017,Animation|Adventure|Family|Fantasy|Music,8.4,600000,83.0,A young musician enters the land of the dead and discovers secrets about his family's history.,https://image.tmdb.org/t/p/w1280/6Ryitt95xrO8KXuqRGm1fUuNwqF.jpg
50,WALL-E,2008,Animation|Adventure|Family|Sci-Fi,8.4,1200000,98.0,A lonely robot cleaning an abandoned Earth discovers a new purpose after meeting an advanced probe.,https://image.tmdb.org/t/p/w1280/dp6BdKiuDm9cKMT7JYNUWiUNR0o.jpg
51,Up,2009,Animation|Adventure|Comedy|Family,8.3,1200000,96.0,An elderly widower travels to South America in a flying house and discovers an unexpected companion.,https://image.tmdb.org/t/p/w1280/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg
52,Ratatouille,2007,Animation|Comedy|Family,8.1,800000,82.0,A talented rat dreams of becoming a chef and secretly helps a young kitchen worker succeed.,https://image.tmdb.org/t/p/w1280/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg
53,Finding Nemo,2003,Animation|Adventure|Comedy|Family,8.2,1100000,91.5,A nervous clownfish crosses the ocean to rescue his son after he is captured by divers.,https://image.tmdb.org/t/p/w1280/axyrDKJmQpynKOESqxO2wKmhj9n.jpg
54,The Incredibles,2004,Animation|Action|Adventure|Family,8.0,800000,80.0,A family of superheroes tries to live a normal life while secretly returning to action.,https://image.tmdb.org/t/p/w1280/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg
55,How to Train Your Dragon,2010,Animation|Action|Adventure|Family|Fantasy,8.1,800000,82.0,A young Viking forms an unexpected friendship with a dragon and changes his community's beliefs.,https://image.tmdb.org/t/p/w1280/53dsJ3oEnBhTBVMigWJ9tkA5bzJ.jpg
56,Spirited Away,2001,Animation|Adventure|Fantasy,8.6,900000,94.5,A young girl enters a mysterious spirit world and must find a way to rescue her transformed parents.,https://image.tmdb.org/t/p/w1280/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg
57,Princess Mononoke,1997,Animation|Action|Adventure|Fantasy,8.3,400000,76.0,A warrior becomes caught between humans exploiting nature and powerful forest spirits.,https://image.tmdb.org/t/p/w1280/cMYCDADoLKLbB83g4WnJegaZimC.jpg
58,Your Name,2016,Animation|Drama|Fantasy|Romance,8.2,400000,74.0,Two teenagers mysteriously begin switching bodies and discover a connection across time and distance.,https://image.tmdb.org/t/p/w1280/vfJFJPepRKapMd5G2ro7klIRysq.jpg
59,The Grand Budapest Hotel,2014,Adventure|Comedy|Drama,8.1,900000,84.5,A concierge and his young protégé become involved in a theft and inheritance dispute at a famous European hotel.,https://image.tmdb.org/t/p/w1280/stc0zLGQEEdmsvD4wpAB062gTFu.jpg
60,The Wolf of Wall Street,2013,Biography|Comedy|Crime,8.2,1600000,104.0,A stockbroker builds a lavish financial empire through manipulation fraud and reckless ambition.,https://image.tmdb.org/t/p/w1280/3510HNgfSUegvMpy09sMfwFtvNM.jpg
61,Shutter Island,2010,Mystery|Thriller,8.2,1600000,104.0,A marshal investigates the disappearance of a patient from an isolated hospital and begins questioning reality.,https://image.tmdb.org/t/p/w1280/hMyLj55Ci8M6Y4Y7bwtquO32bKI.jpg
62,The Truman Show,1998,Comedy|Drama|Sci-Fi,8.2,1300000,96.5,A man discovers that his entire life may be a television show secretly watched by millions.,https://image.tmdb.org/t/p/w1280/nwBCPprRB4FzIQPTiSZ3HuF60mC.jpg
63,Eternal Sunshine of the Spotless Mind,2004,Drama|Romance|Sci-Fi,8.3,1200000,96.0,A couple undergoes a procedure to erase memories of their painful relationship.,https://image.tmdb.org/t/p/w1280/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg
64,Her,2013,Drama|Romance|Sci-Fi,8.0,700000,77.5,A lonely writer develops an intimate relationship with an advanced artificial intelligence.,https://image.tmdb.org/t/p/w1280/wSJnfXvqSTJbN77gBTHVmwZnNMf.jpg
65,Ex Machina,2014,Drama|Sci-Fi|Thriller,7.7,650000,70.25,A programmer is invited to test an intelligent humanoid robot and becomes unsure who is manipulating whom.,https://image.tmdb.org/t/p/w1280/9goPE2IoMIXxTLWzl7aizwuIiLh.jpg
66,Arrival,2016,Drama|Sci-Fi,7.9,800000,78.0,A linguist works to communicate with mysterious alien visitors while confronting an unusual perception of time.,https://image.tmdb.org/t/p/w1280/pEzNVQfdzYDzVK0XqxERIw2x2se.jpg
67,Blade Runner 2049,2017,Drama|Mystery|Sci-Fi,8.0,700000,77.5,A replicant police officer uncovers a secret that leads him to a former blade runner.,https://image.tmdb.org/t/p/w1280/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg
68,The Martian,2015,Adventure|Drama|Sci-Fi,8.0,900000,82.5,An astronaut stranded on Mars uses science and ingenuity to survive while Earth plans a rescue.,https://image.tmdb.org/t/p/w1280/fASz8A0yFE3QB6LgGoOfwvFSseV.jpg
69,Gravity,2013,Drama|Sci-Fi|Thriller,7.7,900000,76.5,Two astronauts struggle to survive after debris destroys their spacecraft in orbit.,https://image.tmdb.org/t/p/w1280/kZ2nZw8D681aphje8NJi8EfbL1U.jpg
70,Mad Max: Fury Road,2015,Action|Adventure|Sci-Fi,8.1,1100000,89.5,A survivor joins a rebellious group fleeing across a brutal wasteland ruled by a tyrant.,https://image.tmdb.org/t/p/w1280/ulcAi4dKpAjHwYGS08vNyx9H6I9.jpg
71,John Wick,2014,Action|Crime|Thriller,7.4,800000,68.0,A retired assassin returns to his violent former life after criminals take something precious from him.,https://image.tmdb.org/t/p/w1280/wXqWR7dHncNRbxoEGybEy7QTe9h.jpg
72,Mission: Impossible - Fallout,2018,Action|Adventure|Thriller,7.7,800000,74.0,An elite agent races across the world to stop stolen nuclear weapons and prevent a global catastrophe.,https://image.tmdb.org/t/p/w1280/AkJQpZp9WoNdj7pLYSj1L0RcMMN.jpg
73,Top Gun: Maverick,2022,Action|Drama,8.2,800000,84.0,A veteran pilot trains a new generation for a dangerous mission while confronting his past.,https://image.tmdb.org/t/p/w1280/n0YuM4f5lvGAP6MAW2kBIzugXnc.jpg
74,Oppenheimer,2023,Biography|Drama|History,8.6,900000,94.5,A brilliant physicist leads the development of the atomic bomb while facing political and moral consequences.,https://image.tmdb.org/t/p/w1280/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg
75,Dune,2021,Action|Adventure|Drama|Sci-Fi,8.0,1000000,85.0,A young nobleman travels to a dangerous desert planet and becomes central to a struggle over its valuable resources.,https://image.tmdb.org/t/p/w1280/v1tRXZ4JtD2Iv6fjkPvT4GiwslV.jpg
76,Dune: Part Two,2024,Action|Adventure|Drama|Sci-Fi,8.5,700000,87.5,A young leader joins desert warriors and seeks revenge while preparing for an interstellar conflict.,https://image.tmdb.org/t/p/w1280/6izwz7rsy95ARzTR3poZ8H6c5pp.jpg
77,Everything Everywhere All at Once,2022,Action|Adventure|Comedy|Fantasy|Sci-Fi,7.7,600000,69.0,A woman discovers versions of herself across alternate universes and must save reality from collapse.,https://image.tmdb.org/t/p/w1280/u68AjlvlutfEIcpmbYpKcdi09ut.jpg
78,The Social Network,2010,Biography|Drama,7.8,800000,76.0,A Harvard student creates a revolutionary social network while friendships and legal disputes follow.,themoviedb.org/t/p/w1280/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg
79,Moneyball,2011,Biography|Drama|Sport,7.6,500000,64.5,A baseball manager uses data and unconventional statistics to build a competitive team with a small budget.,https://image.tmdb.org/t/p/w1280/4yIQq1e6iOcaZ5rLDG3lZBP3j7a.jpg
80,The Imitation Game,2014,Biography|Drama|Thriller|War,8.0,900000,82.5,A mathematician leads a secret effort to break an enemy code during World War II.,https://image.tmdb.org/t/p/w1280/A0oI3i6fed0iYkCaTwlGEJIsh5e.jpg
81,Catch Me If You Can,2002,Biography|Crime|Drama,8.1,1200000,92.0,A young con artist successfully poses as different professionals while an FBI agent relentlessly tracks him.,https://image.tmdb.org/t/p/w1280/An9qRPZIes1BZ5MNrrfnnTlOlZd.jpg
82,A Beautiful Mind,2001,Biography|Drama,8.2,1000000,89.0,A brilliant mathematician struggles with mental illness while trying to build a meaningful life.,https://image.tmdb.org/t/p/w1280/2zqiA3lja4eULEmFxLoKsaED4R7.jpg
83,Good Will Hunting,1997,Drama|Romance,8.3,1100000,93.5,A gifted young janitor receives help from a therapist who encourages him to confront his past.,https://image.tmdb.org/t/p/w1280/j9Z7P7BGHXn0I0uPiiyalC6efwe.jpg
84,Dead Poets Society,1989,Comedy|Drama,8.1,600000,77.0,An unconventional teacher inspires students at a strict school to think independently and pursue their passions.,https://image.tmdb.org/t/p/w1280/erzbMlcNHOdx24AXOcn2ZKA7R1q.jpg
85,The Pursuit of Happyness,2006,Biography|Drama,8.0,1000000,85.0,A struggling father works through homelessness and hardship while pursuing a career opportunity.,https://image.tmdb.org/t/p/w1280/f6l9rghSHORkWLurUGJhaKAiyjY.jpg
86,La La Land,2016,Comedy|Drama|Music|Romance,8.0,700000,77.5,An aspiring actress and jazz musician fall in love while pursuing their creative dreams in Los Angeles.,https://image.tmdb.org/t/p/w1280/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg
87,Black Swan,2010,Drama|Thriller|Horror,8.0,900000,82.5,A ballet dancer becomes consumed by the pressure to achieve perfection in a major performance.,https://image.tmdb.org/t/p/w1280/rH19vkjAzCZ0HIUvrgB3rowm68h.jpg
88,Get Out,2017,Horror|Mystery|Thriller,7.8,700000,73.5,A young man visits his girlfriend's family and discovers disturbing secrets beneath their polite behavior.,https://image.tmdb.org/t/p/w1280/tFXcEccSQMf3lfhfXKSU9iRBpa3.jpg
89,A Quiet Place,2018,Drama|Horror|Sci-Fi,7.5,600000,65.0,A family struggles to survive in silence while creatures hunt anything that makes noise.,https://image.tmdb.org/t/p/w1280/nAU74GmpUk7t5iklEp3bufwDq4n.jpg
90,The Conjuring,2013,Horror|Mystery|Thriller,7.5,600000,65.0,Paranormal investigators help a family terrorized by a dark supernatural presence.,https://image.tmdb.org/t/p/w1280/tdSZGTBTm4EFNCMz3laZ96Ht8ao.jpg
91,Alien,1979,Horror|Sci-Fi,8.5,950000,93.75,A commercial spaceship crew encounters a deadly extraterrestrial creature after answering a mysterious signal.,https://image.tmdb.org/t/p/w1280/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg
92,Alien³,1992,Action|Adventure|Horror|Sci-Fi,8.4,800000,88.0,A survivor returns to the planet where her crew first encountered an alien species.,https://image.tmdb.org/t/p/w1280/xh5wI0UoW7DfS1IyLy3d2CgrCEP.jpg
93,The Shining,1980,Drama|Horror,8.4,1100000,95.5,A writer and his family become isolated in a mountain hotel where supernatural forces influence his behavior.,https://image.tmdb.org/t/p/w1280/uAR0AWqhQL1hQa69UDEbb2rE5Wx.jpg
94,It,2017,Horror,7.3,600000,61.0,A group of children confronts a terrifying entity that preys on their fears.,https://image.tmdb.org/t/p/w1280/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg
95,The Exorcist,1973,Horror,8.1,450000,73.25,A mother seeks help when her young daughter begins displaying frightening and unexplained behavior.,https://image.tmdb.org/t/p/w1280/rzTXLGKvu2Kkvnr9AzXPl0o7IvP.jpg
96,Memento,2000,Mystery|Thriller,8.4,1400000,103.0,A man with severe memory loss tries to find his wifes killer using notes photographs and tattoos.,https://image.tmdb.org/t/p/w1280/nWtySDlffTfwAa0rSfq61o33ZXV.jpg
97,The Sixth Sense,1999,Drama|Mystery|Thriller,8.2,1100000,91.5,A child psychologist works with a boy who claims he can see dead people.,https://image.tmdb.org/t/p/w1280/vOyfUXNFSnaTk7Vk5AjpsKTUWsu.jpg
98,Prisoners,2013,Crime|Drama|Mystery|Thriller,8.1,800000,82.0,A desperate father takes matters into his own hands after his daughter and her friend disappear.,https://image.tmdb.org/t/p/w1280/wN9jdE58Se26x3ceBwFlSTG3XC2.jpg
99,Gone Girl,2014,Drama|Mystery|Thriller,8.1,1100000,89.5,A man's wife disappears and the investigation exposes disturbing secrets in their marriage.,https://image.tmdb.org/t/p/w1280/1qi55eCNOoW21XJ24VoK2PUi56A.jpg
100,The Revenant,2015,Adventure|Drama|Western,8.0,900000,82.5,A frontiersman survives a brutal attack and seeks revenge against the man who abandoned him.,https://image.tmdb.org/t/p/w1280/tSaBkriE7TpbjFoQUFXuikoz0dF.jpg
